Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,AI_Impact_Level,Automation_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2022,Australia,OpenAI,Mobile Developer,Senior,80020,70,Moderate Impact,Medium,66,10,35
2025,Canada,Amazon,Full Stack Developer,Junior,103955,82,Moderate Impact,Medium,50,6,41
2022,Australia,Microsoft,AI Engineer,Senior,165665,100,High Demand,Low,75,10,49
2025,USA,Meta,Backend Developer,Senior,121154,63,Moderate Impact,High,64,10,41
2023,UK,Google,AI Engineer,Mid,97518,100,High Demand,Low,79,10,50
2023,Australia,IBM,ML Engineer,Junior,121331,91,High Demand,Low,69,7,50
2024,USA,Accenture,Mobile Developer,Senior,111240,86,Moderate Impact,Medium,77,8,36
2023,Germany,Microsoft,Data Scientist,Senior,98749,100,High Demand,Low,77,6,41
2023,Germany,NVIDIA,AI Engineer,Senior,116547,98,High Demand,Low,69,8,43
2022,Germany,Amazon,Mobile Developer,Mid,72270,73,Moderate Impact,High,69,9,47
2024,Australia,Microsoft,AI Engineer,Junior,137649,95,High Demand,Low,58,6,43
2025,India,Wipro,Data Scientist,Senior,50357,77,High Demand,Low,73,6,36
2025,Canada,Accenture,Mobile Developer,Junior,106012,70,Moderate Impact,Medium,54,7,48
2023,USA,OpenAI,Data Analyst,Senior,107727,100,Growing Demand,Medium,75,8,40
2024,Germany,TCS,AI Engineer,Mid,161968,100,High Demand,Low,71,8,50
2025,USA,OpenAI,Frontend Developer,Junior,140999,82,Moderate Impact,High,90,6,40
2023,UK,OpenAI,Frontend Developer,Junior,78630,75,Moderate Impact,High,90,7,36
2025,UK,NVIDIA,Data Scientist,Senior,110803,89,High Demand,Low,76,10,42
2024,UK,TCS,Mobile Developer,Junior,91877,76,Moderate Impact,High,55,7,38
2025,USA,Infosys,Frontend Developer,Junior,180346,86,Moderate Impact,High,76,10,46
2024,Australia,NVIDIA,Frontend Developer,Junior,100087,74,Moderate Impact,Medium,70,9,44
2024,Germany,Meta,Data Analyst,Junior,105992,74,Growing Demand,Medium,86,8,46
2025,India,NVIDIA,Full Stack Developer,Mid,16220,74,Moderate Impact,High,66,8,50
2023,India,NVIDIA,Backend Developer,Junior,39135,76,Moderate Impact,High,58,8,35
2023,Australia,Microsoft,Backend Developer,Mid,113625,91,Moderate Impact,Medium,54,7,39
2023,Canada,OpenAI,Full Stack Developer,Junior,88666,85,Moderate Impact,Medium,51,6,40
2025,USA,Accenture,AI Engineer,Junior,241391,100,High Demand,Low,74,7,48
2025,India,Google,Backend Developer,Senior,31852,70,Moderate Impact,Medium,83,10,43
2024,Germany,Infosys,ML Engineer,Junior,137591,82,High Demand,Low,76,6,36
2022,UK,Google,Frontend Developer,Senior,79997,72,Moderate Impact,Medium,58,10,42
2023,Germany,NVIDIA,ML Engineer,Senior,156305,98,High Demand,Low,52,6,47
2025,Canada,OpenAI,Mobile Developer,Mid,107930,80,Moderate Impact,Medium,57,8,46
2023,UK,Meta,Mobile Developer,Senior,94452,76,Moderate Impact,High,52,9,41
2025,Australia,Accenture,Backend Developer,Senior,91034,55,Moderate Impact,Medium,66,9,41
2025,UK,Microsoft,Data Scientist,Mid,123735,82,High Demand,Low,84,8,46
2023,Canada,Accenture,Full Stack Developer,Senior,80230,65,Moderate Impact,High,62,9,48
2022,Australia,IBM,Mobile Developer,Senior,110964,85,Moderate Impact,High,88,10,39
2022,UK,Infosys,Data Analyst,Junior,85257,100,Growing Demand,Medium,56,9,43
2024,UK,Infosys,Data Scientist,Senior,88298,100,High Demand,Low,74,10,44
2025,Canada,Microsoft,Backend Developer,Junior,118601,74,Moderate Impact,High,70,10,44
2024,Germany,OpenAI,Data Scientist,Senior,118453,100,High Demand,Low,71,7,44
2024,USA,TCS,Full Stack Developer,Mid,111839,72,Moderate Impact,High,65,6,43
2024,Germany,NVIDIA,ML Engineer,Junior,126003,82,High Demand,Low,65,10,41
2022,UK,NVIDIA,Data Analyst,Mid,67846,99,Growing Demand,Medium,86,9,39
2023,USA,Google,ML Engineer,Junior,170976,100,High Demand,Low,61,6,42
2023,Australia,Google,Backend Developer,Mid,123661,61,Moderate Impact,High,83,10,38
2024,USA,OpenAI,Mobile Developer,Senior,128904,74,Moderate Impact,Medium,73,10,47
2022,UK,Google,Data Analyst,Mid,92032,96,Growing Demand,Medium,52,9,36
2025,Germany,Amazon,Backend Developer,Senior,115654,63,Moderate Impact,High,80,10,50
2024,Canada,Infosys,ML Engineer,Mid,141135,88,High Demand,Low,50,8,37
2025,UK,Google,ML Engineer,Senior,130270,100,High Demand,Low,73,9,42
2025,India,IBM,AI Engineer,Junior,45030,81,High Demand,Low,66,10,38
2022,UK,Microsoft,Frontend Developer,Senior,98468,72,Moderate Impact,High,58,7,35
2022,UK,Google,Full Stack Developer,Senior,66677,54,Moderate Impact,Medium,63,6,38
2025,UK,TCS,Data Scientist,Senior,127280,95,High Demand,Low,58,9,46
2023,Australia,IBM,Mobile Developer,Junior,121774,84,Moderate Impact,High,73,9,45
2024,India,Wipro,AI Engineer,Senior,31937,100,High Demand,Low,59,10,42
2023,UK,Wipro,Backend Developer,Mid,84171,82,Moderate Impact,High,90,8,45
2024,UK,Amazon,AI Engineer,Senior,123991,100,High Demand,Low,69,10,40
2023,Australia,Wipro,Full Stack Developer,Mid,124299,68,Moderate Impact,Medium,80,9,38
2025,USA,TCS,Data Analyst,Junior,170064,99,Growing Demand,Medium,80,9,36
2025,Australia,Microsoft,Full Stack Developer,Senior,86285,76,Moderate Impact,Medium,68,6,37
2023,USA,Amazon,Data Scientist,Mid,135419,100,High Demand,Low,57,9,42
2025,Germany,IBM,Mobile Developer,Senior,134712,64,Moderate Impact,High,84,10,47
2025,Canada,Accenture,Frontend Developer,Junior,82364,90,Moderate Impact,Medium,73,6,48
2022,India,Google,Mobile Developer,Senior,39243,88,Moderate Impact,Medium,68,8,39
2022,USA,IBM,Backend Developer,Senior,104079,66,Moderate Impact,Medium,88,6,47
2025,Canada,Google,Backend Developer,Junior,116918,93,Moderate Impact,High,75,8,50
2024,UK,Wipro,Backend Developer,Mid,77870,63,Moderate Impact,High,55,10,50
2022,Germany,Accenture,AI Engineer,Mid,134322,90,High Demand,Low,82,7,41
2023,UK,Accenture,AI Engineer,Mid,118976,80,High Demand,Low,62,7,42
2022,India,Infosys,AI Engineer,Mid,46182,88,High Demand,Low,82,10,35
2023,Canada,Microsoft,Mobile Developer,Junior,108949,66,Moderate Impact,High,61,7,44
2023,Australia,Meta,Data Analyst,Junior,100440,80,Growing Demand,Medium,73,9,44
2025,USA,OpenAI,AI Engineer,Junior,222669,85,High Demand,Low,84,9,40
2025,India,Accenture,Full Stack Developer,Senior,25082,83,Moderate Impact,High,65,10,44
2024,Canada,NVIDIA,ML Engineer,Senior,169547,100,High Demand,Low,51,8,50
2025,Germany,Microsoft,Mobile Developer,Mid,127741,72,Moderate Impact,Medium,65,6,36
2022,Germany,Meta,Full Stack Developer,Junior,111051,72,Moderate Impact,Medium,83,8,38
2023,India,Amazon,Full Stack Developer,Mid,15091,68,Moderate Impact,Medium,69,6,47
2022,India,Infosys,ML Engineer,Junior,22397,100,High Demand,Low,81,9,39
2024,Germany,Infosys,Mobile Developer,Mid,106286,75,Moderate Impact,High,65,9,46
2025,USA,Infosys,Data Scientist,Mid,184898,100,High Demand,Low,75,10,36
2024,Canada,NVIDIA,Mobile Developer,Mid,100216,82,Moderate Impact,Medium,57,8,39
2025,USA,NVIDIA,Mobile Developer,Senior,167711,71,Moderate Impact,High,74,9,38
2025,UK,Infosys,ML Engineer,Senior,98624,100,High Demand,Low,73,8,48
2023,Germany,Infosys,Data Analyst,Senior,78253,100,Growing Demand,Medium,86,7,46
2023,Canada,Microsoft,Frontend Developer,Junior,99702,73,Moderate Impact,Medium,60,10,43
2022,USA,NVIDIA,Data Scientist,Mid,131303,77,High Demand,Low,52,6,42
2024,Australia,Accenture,AI Engineer,Senior,152834,100,High Demand,Low,76,10,48
2024,Canada,Wipro,Data Analyst,Senior,97339,100,Growing Demand,Medium,89,9,46
2024,Canada,Infosys,Full Stack Developer,Senior,100329,76,Moderate Impact,Medium,55,9,45
2025,USA,Microsoft,AI Engineer,Mid,210680,86,High Demand,Low,60,10,42
2024,Australia,Microsoft,Mobile Developer,Senior,100805,75,Moderate Impact,Medium,66,10,48
2024,Australia,TCS,Backend Developer,Mid,88352,81,Moderate Impact,High,63,9,45
2022,UK,Amazon,ML Engineer,Mid,98053,74,High Demand,Low,72,6,50
2025,Canada,Accenture,Mobile Developer,Mid,102750,85,Moderate Impact,Medium,90,7,44
2024,Australia,IBM,Data Scientist,Junior,115019,91,High Demand,Low,81,6,45
2022,Canada,Meta,Mobile Developer,Junior,90125,79,Moderate Impact,Medium,90,8,41
2023,Germany,Meta,Backend Developer,Senior,87843,72,Moderate Impact,High,55,6,40
2022,India,Amazon,Frontend Developer,Senior,20839,71,Moderate Impact,High,74,9,37
2022,India,Amazon,AI Engineer,Mid,40636,95,High Demand,Low,89,10,35
2025,USA,Infosys,Data Analyst,Mid,104689,89,Growing Demand,Medium,87,9,38
2024,UK,Accenture,Mobile Developer,Senior,75159,66,Moderate Impact,Medium,55,8,38
2025,UK,Amazon,Data Scientist,Senior,141320,100,High Demand,Low,54,6,41
2023,USA,TCS,Data Analyst,Mid,160268,82,Growing Demand,Medium,58,10,43
2024,Germany,Microsoft,ML Engineer,Senior,114209,72,High Demand,Low,74,7,39
2024,UK,Amazon,Full Stack Developer,Junior,95055,55,Moderate Impact,High,87,6,40
2024,UK,Google,Backend Developer,Mid,108919,81,Moderate Impact,High,73,7,39
2023,India,TCS,AI Engineer,Mid,32645,94,High Demand,Low,61,10,42
2022,India,Microsoft,ML Engineer,Mid,40822,94,High Demand,Low,89,10,45
2025,Australia,TCS,Frontend Developer,Senior,95152,80,Moderate Impact,Medium,53,6,36
2022,UK,Accenture,Backend Developer,Senior,97762,63,Moderate Impact,High,57,9,35
2023,Australia,Amazon,Frontend Developer,Junior,98540,89,Moderate Impact,High,89,8,44
2025,Australia,IBM,Mobile Developer,Mid,129445,80,Moderate Impact,High,51,9,41
2024,India,Accenture,AI Engineer,Mid,47556,100,High Demand,Low,90,9,47
2025,Canada,TCS,Mobile Developer,Mid,81835,72,Moderate Impact,High,50,8,48
2025,Canada,Amazon,ML Engineer,Mid,142717,97,High Demand,Low,73,8,39
2024,UK,Wipro,Data Scientist,Junior,99319,79,High Demand,Low,80,8,48
2025,Australia,Meta,Data Analyst,Mid,101519,74,Growing Demand,Medium,51,8,50
2025,Germany,Google,AI Engineer,Senior,153589,100,High Demand,Low,69,8,35
2025,UK,Infosys,Frontend Developer,Junior,70932,71,Moderate Impact,High,79,10,44
2023,UK,Wipro,AI Engineer,Senior,78233,98,High Demand,Low,50,10,45
2025,India,Infosys,Data Scientist,Mid,53077,85,High Demand,Low,57,10,43
2025,USA,Amazon,Mobile Developer,Junior,179474,83,Moderate Impact,Medium,50,10,49
2022,USA,TCS,Data Analyst,Junior,150264,95,Growing Demand,Medium,78,10,38
2022,UK,NVIDIA,ML Engineer,Junior,107626,98,High Demand,Low,79,9,40
2024,Canada,NVIDIA,Frontend Developer,Junior,111856,72,Moderate Impact,High,84,8,43
2024,Australia,Microsoft,Frontend Developer,Mid,102457,70,Moderate Impact,High,69,6,41
2023,UK,Google,Backend Developer,Junior,96160,58,Moderate Impact,Medium,84,8,39
2022,UK,Accenture,Frontend Developer,Senior,76692,80,Moderate Impact,High,69,8,37
2024,USA,TCS,Mobile Developer,Mid,111339,79,Moderate Impact,Medium,50,8,43
2022,India,TCS,Data Analyst,Junior,24746,96,Growing Demand,Medium,73,7,35
2023,USA,OpenAI,AI Engineer,Senior,181248,89,High Demand,Low,62,10,39
2025,USA,NVIDIA,Mobile Developer,Junior,149042,62,Moderate Impact,Medium,68,6,42
2024,UK,Meta,Backend Developer,Senior,102693,77,Moderate Impact,Medium,65,7,39
2025,UK,Google,Mobile Developer,Mid,84367,58,Moderate Impact,Medium,52,7,42
2022,Australia,Accenture,AI Engineer,Mid,146444,100,High Demand,Low,67,7,36
2024,Canada,Google,AI Engineer,Junior,124778,87,High Demand,Low,83,7,43
2024,UK,NVIDIA,Full Stack Developer,Junior,78958,71,Moderate Impact,Medium,84,6,44
2023,India,IBM,ML Engineer,Senior,40838,100,High Demand,Low,53,8,44
2025,UK,IBM,Full Stack Developer,Mid,96710,89,Moderate Impact,Medium,68,6,47
2024,Australia,OpenAI,ML Engineer,Senior,170583,92,High Demand,Low,61,7,45
2024,UK,Google,Mobile Developer,Senior,82143,82,Moderate Impact,High,61,6,49
2023,Germany,TCS,Backend Developer,Senior,76146,71,Moderate Impact,High,63,6,45
2024,India,IBM,AI Engineer,Mid,20528,100,High Demand,Low,90,6,35
2025,Germany,IBM,Backend Developer,Mid,110976,90,Moderate Impact,High,76,10,44
2025,India,Accenture,Full Stack Developer,Senior,24826,55,Moderate Impact,Medium,58,7,48
2024,UK,Accenture,Full Stack Developer,Senior,100232,53,Moderate Impact,High,50,8,48
2022,India,Google,AI Engineer,Junior,40115,92,High Demand,Low,72,10,42
2022,Germany,Wipro,Full Stack Developer,Junior,70653,71,Moderate Impact,High,87,8,45
2024,Germany,Wipro,Frontend Developer,Senior,86287,85,Moderate Impact,Medium,59,6,46
2024,UK,TCS,AI Engineer,Senior,117415,89,High Demand,Low,71,10,40
2024,UK,Wipro,Frontend Developer,Senior,90737,90,Moderate Impact,High,56,10,35
2022,India,Accenture,Data Scientist,Senior,35033,82,High Demand,Low,63,6,49
2025,UK,IBM,AI Engineer,Mid,137663,100,High Demand,Low,62,7,36
2025,Germany,Amazon,Data Analyst,Mid,89593,99,Growing Demand,Medium,57,6,43
2023,USA,Infosys,ML Engineer,Mid,127256,99,High Demand,Low,63,9,36
2022,Germany,Meta,Mobile Developer,Senior,85888,71,Moderate Impact,Medium,79,7,48
2023,UK,Amazon,Data Scientist,Senior,125742,100,High Demand,Low,80,8,42
2024,Australia,NVIDIA,AI Engineer,Senior,173582,100,High Demand,Low,63,9,49
2023,USA,Infosys,Mobile Developer,Senior,132961,67,Moderate Impact,High,62,7,40
2022,UK,Accenture,Frontend Developer,Senior,81485,63,Moderate Impact,Medium,84,10,40
2024,India,TCS,ML Engineer,Mid,44906,100,High Demand,Low,81,6,38
2025,Canada,Infosys,AI Engineer,Mid,170728,86,High Demand,Low,89,9,46
2023,Australia,Infosys,Data Analyst,Mid,112103,98,Growing Demand,Medium,59,9,48
2025,India,Accenture,Data Analyst,Junior,20088,67,Growing Demand,Medium,54,8,46
2025,Germany,OpenAI,AI Engineer,Senior,141989,92,High Demand,Low,77,6,35
2024,Germany,Microsoft,Full Stack Developer,Junior,101531,68,Moderate Impact,High,64,10,47
2025,UK,OpenAI,Mobile Developer,Senior,101173,55,Moderate Impact,Medium,51,9,40
2023,USA,Google,Mobile Developer,Junior,114471,86,Moderate Impact,Medium,54,7,48
2022,Australia,IBM,Data Analyst,Junior,97441,81,Growing Demand,Medium,56,7,46
2022,USA,Amazon,Full Stack Developer,Mid,119182,54,Moderate Impact,High,64,9,36
2024,India,Wipro,Backend Developer,Junior,40297,91,Moderate Impact,Medium,58,8,49
2023,Canada,Microsoft,Data Scientist,Senior,133661,84,High Demand,Low,87,8,35
2022,Germany,Wipro,Frontend Developer,Mid,119315,59,Moderate Impact,Medium,77,8,38
2022,Australia,NVIDIA,Frontend Developer,Mid,119558,78,Moderate Impact,Medium,50,10,40
2023,India,Wipro,Backend Developer,Senior,35570,60,Moderate Impact,Medium,90,8,45
2023,UK,Google,AI Engineer,Junior,98690,92,High Demand,Low,59,10,37
2023,Canada,Accenture,Data Scientist,Senior,121507,100,High Demand,Low,89,10,43
2025,UK,Meta,ML Engineer,Senior,104411,100,High Demand,Low,62,10,39
2023,Canada,TCS,ML Engineer,Junior,136007,75,High Demand,Low,82,6,38
2024,Germany,OpenAI,Frontend Developer,Junior,111372,73,Moderate Impact,Medium,73,9,48
2024,India,Meta,ML Engineer,Mid,39347,82,High Demand,Low,53,8,47
2023,Canada,Meta,Full Stack Developer,Mid,107059,74,Moderate Impact,High,67,8,45
2024,UK,Meta,Data Analyst,Mid,75421,69,Growing Demand,Medium,72,10,38
2022,Canada,Accenture,Full Stack Developer,Mid,84362,72,Moderate Impact,Medium,66,10,50
2022,UK,Infosys,Data Scientist,Senior,139180,100,High Demand,Low,62,9,46
2022,India,IBM,Backend Developer,Senior,17634,68,Moderate Impact,High,86,10,35
2025,UK,Amazon,Data Scientist,Mid,135964,100,High Demand,Low,63,8,37
2023,Germany,Accenture,Backend Developer,Junior,87078,73,Moderate Impact,Medium,56,6,36
2022,Canada,Google,ML Engineer,Junior,126452,86,High Demand,Low,58,6,39
2022,UK,IBM,Mobile Developer,Junior,72649,73,Moderate Impact,High,63,6,41
2024,Germany,Wipro,ML Engineer,Senior,156962,82,High Demand,Low,57,7,50
2024,Germany,Google,Data Analyst,Senior,78092,81,Growing Demand,Medium,53,9,42
2023,India,NVIDIA,AI Engineer,Senior,56962,96,High Demand,Low,87,8,37
2024,Germany,Infosys,Mobile Developer,Senior,77216,80,Moderate Impact,Medium,73,8,38
2025,Canada,Wipro,Frontend Developer,Senior,91126,91,Moderate Impact,High,51,9,41
2024,Germany,Microsoft,Mobile Developer,Junior,103485,77,Moderate Impact,High,87,10,45
2022,USA,Microsoft,Mobile Developer,Junior,125471,69,Moderate Impact,High,61,8,41
2025,Australia,Google,Backend Developer,Senior,124409,65,Moderate Impact,High,90,8,45
2022,USA,Meta,Data Analyst,Mid,100975,78,Growing Demand,Medium,79,9,48
2025,UK,TCS,Full Stack Developer,Senior,104076,90,Moderate Impact,High,74,9,46
2025,USA,Google,Mobile Developer,Junior,106488,55,Moderate Impact,High,51,8,36
2023,USA,Meta,Mobile Developer,Junior,117143,69,Moderate Impact,High,78,7,39
2023,Australia,Google,Data Scientist,Junior,128525,100,High Demand,Low,68,10,42
2023,Canada,IBM,Full Stack Developer,Junior,86198,72,Moderate Impact,Medium,74,7,42
2022,UK,Amazon,Mobile Developer,Junior,61388,68,Moderate Impact,High,53,8,45
2023,UK,Amazon,Backend Developer,Senior,79945,59,Moderate Impact,Medium,73,7,37
2025,USA,NVIDIA,AI Engineer,Junior,161175,91,High Demand,Low,59,10,49
2025,UK,Infosys,Backend Developer,Mid,83499,80,Moderate Impact,Medium,58,10,42
2022,Canada,Amazon,AI Engineer,Senior,146211,100,High Demand,Low,85,8,36
2025,Canada,Amazon,ML Engineer,Junior,119843,96,High Demand,Low,74,7,44
2022,India,Accenture,Backend Developer,Senior,25908,85,Moderate Impact,Medium,73,8,40
2025,UK,Wipro,Full Stack Developer,Senior,105859,85,Moderate Impact,Medium,80,10,48
2023,Germany,Google,Full Stack Developer,Junior,120887,70,Moderate Impact,High,78,10,47
2025,India,OpenAI,Backend Developer,Mid,36733,68,Moderate Impact,High,76,7,36
2025,Australia,NVIDIA,AI Engineer,Senior,144806,91,High Demand,Low,75,9,42
2023,India,IBM,Data Scientist,Junior,38201,94,High Demand,Low,89,8,38
2023,UK,Microsoft,ML Engineer,Mid,101546,96,High Demand,Low,78,8,45
2022,Germany,Microsoft,AI Engineer,Senior,150638,92,High Demand,Low,71,9,36
2025,India,Microsoft,Backend Developer,Mid,21007,89,Moderate Impact,Medium,65,8,47
2022,UK,Accenture,Backend Developer,Junior,68893,63,Moderate Impact,High,51,6,39
2024,Australia,Infosys,Full Stack Developer,Junior,131671,69,Moderate Impact,Medium,88,8,49
2023,Germany,OpenAI,ML Engineer,Junior,105196,100,High Demand,Low,85,8,47
2023,Australia,TCS,Mobile Developer,Junior,123658,79,Moderate Impact,Medium,89,6,43
2024,Germany,Accenture,ML Engineer,Senior,123198,88,High Demand,Low,68,9,36
2025,Australia,IBM,AI Engineer,Mid,175205,98,High Demand,Low,85,8,49
2025,India,NVIDIA,Full Stack Developer,Mid,21840,78,Moderate Impact,High,83,8,50
2024,Germany,NVIDIA,ML Engineer,Mid,136337,100,High Demand,Low,57,6,38
2023,Australia,TCS,Frontend Developer,Senior,99641,79,Moderate Impact,Medium,51,10,50
2025,Canada,Microsoft,Frontend Developer,Junior,111363,71,Moderate Impact,High,51,10,39
2024,UK,IBM,Data Analyst,Mid,68228,79,Growing Demand,Medium,59,10,42
2024,USA,OpenAI,Frontend Developer,Junior,139437,82,Moderate Impact,Medium,72,6,42
2025,Australia,TCS,AI Engineer,Junior,159772,100,High Demand,Low,56,6,43
2023,USA,Microsoft,Data Analyst,Senior,154843,81,Growing Demand,Medium,66,6,37
2025,Canada,Microsoft,Data Analyst,Junior,80574,94,Growing Demand,Medium,50,10,45
2025,UK,Google,ML Engineer,Junior,140995,100,High Demand,Low,76,8,37
2022,Australia,Amazon,Data Analyst,Mid,111072,78,Growing Demand,Medium,87,7,43
2025,UK,Microsoft,ML Engineer,Junior,117985,100,High Demand,Low,54,6,48
2022,USA,Google,Frontend Developer,Junior,141256,63,Moderate Impact,High,73,10,47
2024,USA,Wipro,Backend Developer,Junior,161376,61,Moderate Impact,High,79,8,42
2023,USA,Google,Frontend Developer,Junior,130025,71,Moderate Impact,Medium,52,6,48
2025,Canada,TCS,Backend Developer,Junior,114573,62,Moderate Impact,High,65,7,36
2024,USA,Google,Backend Developer,Junior,169578,60,Moderate Impact,High,66,8,44
2025,Canada,OpenAI,ML Engineer,Junior,104999,100,High Demand,Low,83,7,37
2023,India,Infosys,ML Engineer,Senior,39779,100,High Demand,Low,50,8,41
2025,India,Amazon,Frontend Developer,Junior,37720,90,Moderate Impact,High,65,7,35
2024,Australia,Amazon,Data Scientist,Senior,146818,100,High Demand,Low,57,6,36
2024,Australia,Amazon,Data Analyst,Junior,124516,76,Growing Demand,Medium,73,7,42
2025,Germany,Microsoft,ML Engineer,Junior,171644,84,High Demand,Low,57,6,50
2024,India,NVIDIA,AI Engineer,Junior,39539,72,High Demand,Low,77,9,38
2022,UK,Microsoft,Data Scientist,Mid,80021,94,High Demand,Low,70,8,49
2022,UK,Wipro,Frontend Developer,Senior,79841,84,Moderate Impact,Medium,64,10,38
2022,Canada,Wipro,Backend Developer,Senior,91603,57,Moderate Impact,Medium,69,6,44
2025,Germany,Accenture,Full Stack Developer,Mid,123710,81,Moderate Impact,Medium,83,6,46
2023,Germany,Infosys,Frontend Developer,Junior,101018,70,Moderate Impact,Medium,66,6,45
2023,UK,NVIDIA,Full Stack Developer,Junior,90231,78,Moderate Impact,Medium,79,8,35
2024,UK,Accenture,Data Scientist,Mid,128864,100,High Demand,Low,64,7,42
2024,Australia,Accenture,ML Engineer,Senior,164810,74,High Demand,Low,67,10,46
2022,USA,Meta,Frontend Developer,Mid,101661,82,Moderate Impact,High,65,10,49
2023,Australia,TCS,ML Engineer,Junior,156347,95,High Demand,Low,72,9,38
2024,India,Wipro,Data Scientist,Junior,46255,89,High Demand,Low,71,7,46
2023,Germany,NVIDIA,Mobile Developer,Mid,77529,86,Moderate Impact,Medium,51,7,40
2022,Germany,Accenture,Mobile Developer,Senior,93587,66,Moderate Impact,Medium,83,6,42
2025,Canada,NVIDIA,ML Engineer,Mid,111379,91,High Demand,Low,76,10,50
2025,UK,Meta,Full Stack Developer,Senior,82786,71,Moderate Impact,Medium,54,7,36
2025,USA,TCS,Data Analyst,Mid,163424,77,Growing Demand,Medium,62,7,47
2022,India,TCS,Mobile Developer,Mid,12576,78,Moderate Impact,Medium,62,8,37
2023,India,Amazon,Full Stack Developer,Senior,27202,71,Moderate Impact,High,73,8,38
2024,Australia,Infosys,Frontend Developer,Senior,125774,59,Moderate Impact,Medium,78,6,40
2025,Germany,Microsoft,Backend Developer,Junior,117371,54,Moderate Impact,Medium,58,10,35
2022,Australia,IBM,AI Engineer,Junior,145672,78,High Demand,Low,65,7,36
2023,USA,IBM,Full Stack Developer,Junior,148710,66,Moderate Impact,Medium,84,10,50
2022,Germany,Microsoft,Full Stack Developer,Mid,117706,81,Moderate Impact,High,74,7,50
2025,USA,Accenture,Data Scientist,Senior,146976,88,High Demand,Low,51,6,45
2024,USA,Accenture,ML Engineer,Junior,234704,75,High Demand,Low,82,6,39
2024,India,Meta,Full Stack Developer,Senior,17613,84,Moderate Impact,High,87,9,41
2025,UK,Google,Mobile Developer,Junior,111753,65,Moderate Impact,High,90,6,37
2023,India,IBM,Frontend Developer,Senior,17861,81,Moderate Impact,Medium,64,7,50
2022,USA,Microsoft,Full Stack Developer,Senior,115770,58,Moderate Impact,High,61,6,45
2023,Canada,OpenAI,AI Engineer,Mid,137190,100,High Demand,Low,84,8,49
2022,Germany,Wipro,Data Analyst,Mid,103436,72,Growing Demand,Medium,72,6,40
2022,USA,TCS,AI Engineer,Senior,127625,80,High Demand,Low,70,8,39
2025,Germany,Wipro,Mobile Developer,Senior,94015,74,Moderate Impact,High,57,7,37
2024,Canada,OpenAI,AI Engineer,Junior,113920,100,High Demand,Low,60,10,42
2023,USA,Wipro,Backend Developer,Mid,138343,94,Moderate Impact,Medium,90,10,39
2024,Germany,Amazon,Data Scientist,Senior,105589,91,High Demand,Low,63,6,41
2024,USA,NVIDIA,Mobile Developer,Senior,129489,72,Moderate Impact,Medium,65,9,48
2022,Canada,OpenAI,Frontend Developer,Mid,90899,78,Moderate Impact,Medium,85,6,39
2024,India,Google,Backend Developer,Mid,38591,83,Moderate Impact,High,81,9,44
2024,India,Amazon,Frontend Developer,Junior,16033,84,Moderate Impact,Medium,54,8,40
2022,Germany,IBM,ML Engineer,Junior,130576,93,High Demand,Low,71,8,38
2025,Australia,Infosys,ML Engineer,Junior,139210,81,High Demand,Low,58,9,43
2023,Canada,Amazon,Frontend Developer,Senior,89807,89,Moderate Impact,Medium,72,9,41
2022,Germany,Microsoft,Full Stack Developer,Senior,119519,80,Moderate Impact,High,88,7,44
2025,UK,Infosys,ML Engineer,Senior,128735,77,High Demand,Low,77,10,47
2025,UK,OpenAI,AI Engineer,Junior,133746,93,High Demand,Low,90,10,40
2025,Australia,Microsoft,Data Scientist,Junior,158659,100,High Demand,Low,87,10,47
2023,Germany,Infosys,Mobile Developer,Junior,87413,94,Moderate Impact,High,52,9,39
2025,Australia,IBM,Frontend Developer,Senior,120674,85,Moderate Impact,High,77,7,50
2022,Australia,Wipro,Frontend Developer,Senior,87840,77,Moderate Impact,High,62,9,49
2022,Australia,NVIDIA,Full Stack Developer,Mid,86511,63,Moderate Impact,Medium,62,8,41
2025,Australia,Google,Backend Developer,Senior,130470,58,Moderate Impact,Medium,79,8,41
2022,UK,NVIDIA,ML Engineer,Mid,105438,71,High Demand,Low,79,10,39
2023,UK,Infosys,AI Engineer,Junior,91239,90,High Demand,Low,78,10,37
2023,UK,Meta,ML Engineer,Senior,129723,71,High Demand,Low,54,8,41
2024,Australia,NVIDIA,Backend Developer,Junior,97510,55,Moderate Impact,High,53,8,41
2025,Germany,TCS,Mobile Developer,Junior,111702,88,Moderate Impact,Medium,54,10,47
2022,UK,Amazon,AI Engineer,Senior,119265,100,High Demand,Low,60,8,45
2023,USA,Microsoft,Data Analyst,Mid,164743,83,Growing Demand,Medium,84,8,41
2023,Canada,TCS,Data Scientist,Mid,140513,96,High Demand,Low,55,8,37
2023,Australia,OpenAI,Full Stack Developer,Senior,115093,75,Moderate Impact,High,68,7,40
2024,Australia,NVIDIA,Data Scientist,Mid,113519,100,High Demand,Low,88,10,46
2022,USA,OpenAI,Backend Developer,Senior,151913,59,Moderate Impact,Medium,52,10,37
2022,India,Accenture,Data Analyst,Mid,23699,74,Growing Demand,Medium,75,10,39
2022,UK,Wipro,Backend Developer,Junior,81077,82,Moderate Impact,Medium,74,8,49
2025,Germany,Microsoft,Mobile Developer,Mid,98634,55,Moderate Impact,Medium,80,9,39
